Items,Type,Status,Project Type,Project #,Governance Framework,Project WO #s,Project Manager,PM Region,Project Status,Budget Type,Program,CY Actuals,CY Rem Fcst,Remaining Contingency,CY Tot EAC,CY Tot Fcst 3+9 Baseline,CY Tot EAC vs 3+9 Base Value,CY Tot EAC vs 3+9 Base Indicator,CY Budget Year Amount,CY Budget Adjustment,CY Bud incl Adj,CY Variance with Adjustments Value,CY Variance with Adjustments Indicator,Variance Explanation AFE vs CY Budget,Full or Phase 1 AFE,Phase 2 AFE,Supplemental AFE Amount,Total Approved AFE,AFE Stage,Total Requested AFE,Inception to Date Actuals,Project Rem Fcst,Project EAC,Supplemental AFE Required? Value,Supplemental AFE Required? Indicator,Cash Flow Start (Fcst),Full or Phase 1 AFE Approved Date,Full or Phase 1 AFE Approved Date P/D,Baseline Operational Date,Operational Date,AFE Past Due Days Value,AFE Past Due Days Indicator,CY 01 Jan Act,CY 02 Feb Act,CY 02 Feb Fcst,CY 02 Feb Fcst (asOf Cut-off),CY 02 Feb Var Value,CY 02 Feb Var Indicator,IT - Accruals,Monthly Variance Explanation,CY 03 Mar Fcst,CY 04 Apr Fcst,CY 05 May Fcst,CY 06 Jun Fcst,CY 07 Jul Fcst,CY 08 Aug Fcst,CY 09 Sep Fcst,CY 10 Oct Fcst,CY 11 Nov Fcst,CY 12 Dec Fcst,Remaining Contingency2,Project Status Notes,Project Status Notes Updated On,Financial Forecast Notes,PCA,PM Designate,PMO-Region,PMO-Division,Financial Reporting Category 2022,Financial Reporting Category 2022 Override,PMO-Asset Team,PMO-Location Business Unit,Parent Project Number,CY Q1 EAC,CY Q2 EAC,CY Q3 EAC,CY Q4 EAC,CY-1 Tot Act,CY+1 Tot Fcst,Program Manager,Project Sponsor,WS Drawdown Class,JV SubProgram,IT Count,OPPM Project Item ID,RCAP Financial Model,Created By,Parent / Child Value,Parent / Child Indicator,Creation Date,Maintenance Reporting Categories
BTXHF - VCU Corrosion,Item,Open,MCAP,,Maintenance Framework,,"Garcia, Monica",,1. Proposed,,Vapor Management,,80000,,80000,80000,0,Green,80000,,80000,0,,,,,,,,,,80000,80000,No,Green,7/1/2023,,,,6/30/2023,,,,,,,,,,,,,,,60000,20000,,,,,,"3-1-2 MLG: a walk down was performed on 2/15/23 with the Vapor group, Ops, Reliability, and Knight Industrial.  The corrosion SME was contacted and we requested specific painting standards.  A work scope is being developed at this time.  


2/2/23 MLG: Working with Reliability on scope development.",3/1/2023,,,,South,Pipelines and Terminals,Operating Infrastructure,,Corpus Christi,BTXHF - Buckeye Texas Hub,,0,,80000,,,,"Karl, Marissa",,,,1,41913,,"Administrator, System",Independent,Aqua,8/23/2021,Other Programs
BTXHF - VRU 3 Train A Carbon Replacement - 2022,Item,Open,MCAP,BTXHF00M2207,Maintenance Framework,1971235,"Johnson, AJ",HSSE,6. Operational,Drawdown,Vapor Management,37043,-315000,,-277956.9,-277957,0,Green,,,,-277957,,,718000,,,718000,Phase,718000,995070,-315000,680070,No,Green,4/1/2022,4/14/2022,4/14/2022,10/15/2022,12/9/2022,,,-5903.56,42946.66,0,0,42947,Red,0,,-315000,,,,,,,,,,,"2.4.23 - Final invoicing is less than anticipated. ML  

1.4.23 - Project is complete, waiting on final invoicing (WM,Traf & Vapor com)  AJ


12.1.22 - Negative forecast reflected in cost division reclass to Train B project once AFE approved. AJ


11.8.22 - Negative forecast reflected in cost division reclass to Train B project once AFE approved. DC


10/11/22 - Negative forecast reflected in cost division reclass to Train B project once AFE approved. DC


10/4/22 - September Accrual $640,000 per Chelsea Schumacher (AS)


7/11/2022 - Carbon delivery expected in October. $100k for project execution was pushed to November. Continuing to re-accrue $615k, per past PM. CKS


6/30/2022 - PM changed to Chelsea Schumacher.


6/1/2022- Re-accrue $615K for John Zink

5/3/2022 - Accrue $615,000 for John Zink Company LLC for 152,000 lb of JACOBI Super Carbon. Shipping was estimated at $0.29/lb. Received 6% discount based on Coupa Bid Event with Vapor Program..

3/31/2022 - Forecast to purchase 2 units.

3.1.21.DLC: Issued drawdown to cover replacement for 1 unit - 2nd unit will need additional funds",2/1/2023,,"Lockwood, Jo Dawn",,South,Pipelines and Terminals,Operating Infrastructure,,Corpus Christi,BTXHF - Buckeye Texas Hub,,-277957,,,,958027,,"Karl, Marissa","Asiedu, Saka",,,1,42940,,"Guest, ProSight",Independent,Aqua,2/14/2022,Other Programs
BTXHF - VRU 3 Train B Carbon Replacement - 2022,Item,Open,MCAP,BTXHF00M2217,Maintenance Framework,2037456,"Dalton, James",ECS Pipes and Terminals,6. Operational,Unplanned,Vapor Management,170098,390000,,560097.61,560098,0,Green,120000,,120000,440098,,,656000,,,656000,Full,656000,203898,390000,593898,No,Green,12/1/2022,12/21/2022,12/21/2022,11/1/2022,2/28/2023,,,4284.4,165813.21,217500,217500,-51687,Red,0,Savings from AFE Estimate,360000,30000,,,,,,,,,,"11.8.22 Delay Reclass due to John Zink not invoicing RCL to take place in December. 


10/19/2022 AJ: Name needs to be changed to trane A. Interim for Carbon reclass to be filed by 10/21.  Full afe will be submitted early Nov.


10/3/22 AJ :  Adjusted forecast to handle reclasses from VRU C (""A"")of Carbon and delivery in Nov.  Total project will be 540k ish but unable to adjust next year's carry over forecast.  Prior to this adjustment there was 700k in this years forecast.  


9/12/2022 - Project deferred to 2023",3/1/2023,,"Landeros, Melisa",,South,Pipelines and Terminals,Operating Infrastructure,,Corpus Christi,BTXHF - Buckeye Texas Hub,,530098,30000,,,33800,,"Karl, Marissa","Pappas, John",,,1,44050,,"Guest, ProSight",Independent,Aqua,6/29/2022,Other Programs
BTXHF VRU3B Carbon Replacement,Item,Open,MCAP,,Maintenance Framework,,"Garcia, Monica",,8. Canceled,,Vapor Management,,,,0,,0,Green,600000,,600000,-600000,,,,,,,,,,,,No,Green,,,,,8/31/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,South,Pipelines and Terminals,Operating Infrastructure,,Corpus Christi,BTXHF - Buckeye Texas Hub,,0,,,,,,"Karl, Marissa",,,,1,44959,,"Administrator, System",Independent,Aqua,8/17/2022,Other Programs
BTXPP - 7000 Blowers to Flare,Item,Open,MCAP,BTXPP00M2218,Maintenance Framework,2014094,"Garcia, Monica",South,7. Closed,Defined,Vapor Management,1462,,,1462.4,1462,0,Green,,,,1462,,,37000,,,37000,Full,37000,32934,,32934,No,Green,9/1/2022,8/31/2022,8/31/2022,12/31/2022,11/2/2022,,,53.21,1409.19,,,1409,Red,0,,,,,,,,,,,,,"2/2/23 MLG: WO closed and Project status changed to Closed.


1/4/23 MLG: waiting on final invoice.


11/2/22 MLG variance is due to issues with Operations rescheduling the work. Work is now completed. Awaiting final invoices.  No future forecasts


10/4/22 MLG: variance is due to issues with Operations rescheduling the work.  work anticipated to be completed in October.


8-25-22 AJ added 7k to forecast per the AFE that is getting routed.  Additional 7k came from south region drawdown",2/2/2023,2/1/22 MLG: Forecast updated,"Landeros, Melisa",,South,Pipelines and Terminals,Operating Infrastructure,,Corpus Christi,BTXPP - Buckeye Texas Processing,,1462,,,,31471,,"Karl, Marissa",,,,1,41916,,"Administrator, System",Independent,Aqua,8/23/2021,Other Programs
Columbus South VRU Carbon Change 2022,Item,Open,MCAP,BETIL00M2202,Exempt,1971123,"Schumacher, Chelsea",HSSE,4. On-Hold,Defined,Vapor Management,5221,,,5220.68,5221,0,Green,,,,5221,,,228000,,,228000,Full,228000,117404,,117404,No,Green,6/1/2022,4/12/2022,4/12/2022,6/30/2022,9/9/2022,,,5029.56,191.12,,,191,Red,0,,,,,,,,,,,,,"1/5/23 - Keep project open per Chelsea (AS)


9/12/2023 - This project will be cancelled. We have received the carbon material and some shipping cost to relocated the portable VCU. The remaining project forecast has been zero'd and remaining POs will be closed.



8/1/2022 - Emergency carbon replacement at Lima South 8/2-5. All of the resource for the Columbus South carbon replacement have be redirected to Lima South. Columbus execution date TBD.


6/2/22 - Carbon to be shipped in June ($118k) and field work/replacement in July ($90k)


5/12/2022 - Carbon replacement is scheduled for week of July 11th. Forecast will be readjusted 


5/2/2022 - Project AFE approved. Hosted a project kick-off meeting 4/29 and waiting for operations to provide available schedule to execute project. Forecast moved from Dec. to June.

3/8/2022 - Project is out to bid through supply chain. AFE to come...",1/5/2023,,"Schultz, Amy",,West,Pipelines and Terminals,Operating Infrastructure,,Southern Ohio,BETIL - BET COLUMBUS SOUTH,,5221,,,,112184,,"Karl, Marissa","Gardner, Travis W.",,,1,42041,,"Schultz, Amy",Independent,Aqua,9/2/2021,Other Programs
Columbus South VRU Release Prevention,Item,Open,MCAP,,Maintenance Framework,,"Scannell, Adam",West,2. Pending AFE,,Vapor Management,,61000,,61000,61000,0,Green,61000,,61000,0,,,,,,,,,,61000,61000,No,Green,6/1/2023,,,,7/31/2023,,,,,,,,,,,,,,20000,41000,,,,,,,,,,,,West,Pipelines and Terminals,Operating Infrastructure,,Southern Ohio,BETIL - BET COLUMBUS SOUTH,,0,20000,41000,,,,"Karl, Marissa",,,,1,44946,,"Administrator, System",Independent,Aqua,8/17/2022,Other Programs
Cuyahoga Terminal VRU Vacuum Pump Replacement,Item,Open,MCAP,BETYH00M2204,Maintenance Framework,2002639,"Gardner, Travis",West,7. Closed,Drawdown,Vapor Management,-245,,,-244.86,-245,0,Green,,,,-245,,,68000,,,68000,Full,68000,60551,,60551,No,Green,8/1/2022,7/28/2022,7/28/2022,9/23/2022,9/23/2022,,,0,-244.86,,,-245,Red,0,,,,,,,,,,,,,"3/1/2023 - final invoice recieved ready to close.  1/4/2023- waiting for contractor invoice.  12/2/2022 - variance is contingency and savings.  9/9/2022 - Pump was installed on Wednesday, 8/31. Updating status to operational. [Chelsea Schumacher]


9/1/2022 - drawdown project - Variance is due to issue with Inventory pump that was installed.  has a knocking noise.  This being address by vendor.  install cost pushed to November.  8/3/2022 - waiting to hear back from operations on when this work will take place.",3/8/2023,,"Griest, Barbara",,West,Pipelines and Terminals,Operating Infrastructure,,North East Ohio,BETYH - BET CUYAHOGA,,-245,,,,60796,,"Karl, Marissa","Spitz, Nicholas P.",,,1,44190,,"Gardner, Travis",Independent,Aqua,7/19/2022,Other Programs
Dayton Lane 1 Detonation Arrester,Item,Open,MEXP,BETDO00E2302,Maintenance Framework,2094411,"Smith, Kyle",West,3. Active,Defined,Vapor Management,,13500,,13500,13500,0,Green,16000,,16000,-2500,,,12635,,,12635,Full,12635,,21500,21500,Yes,Red,5/1/2023,3/9/2023,3/9/2023,7/30/2023,5/31/2023,,,,,,,,,,,,,13500,,,,,,,,,3/3/23 AFE has been submitted and forcast adjusted,3/3/2023,,"Hill, Elizabeth",,West,Pipelines and Terminals,Station/Terminal,,Southern Ohio,BETDO - DAYTON BET TERMINAL,,0,13500,,,,,"Karl, Marissa","Gardner, Travis W.",,,1,45225,,"Guest, ProSight",Independent,Aqua,8/23/2022,Other Programs
East Chicago East Truck Rack VAVAC Pressure Transmitter Relocate,Item,Candidate,MCAP,,Maintenance Framework,,"Grinder, Mark",West,8. Canceled,,Vapor Management,,,,0,,0,Green,35000,,35000,-35000,,,,,,,,,,,,No,Green,,,,,6/30/2023,,,,,,,,,,,,,,,,,,,,,,3/1/2023 - TWG - this project is no longer required per vapor program and has been canceled.  The budgeted money has been moved to the west region drawdown.,3/1/2023,,,,West,Pipelines and Terminals,Operating Infrastructure,,E. Chicago Terminals,BETEU - BET EAST CHICAGO,,0,,,,,,"Karl, Marissa",,,,1,45116,,"Guest, ProSight",Independent,Aqua,8/19/2022,Other Programs
Fairfax VRU Release Prevention,Item,Open,MCAP,,Maintenance Framework,,"Pepe, David",,1. Proposed,,Vapor Management,,61000,,61000,61000,0,Green,61000,,61000,0,,,,,,,,,,61000,61000,No,Green,12/1/2023,,,,7/31/2023,,,,,0,0,0,Green,,,0,,,,,,,,,61000,,"1/26/2023 - DJP - the project will be cancelled and switched to another VRU since the Fairfax Unit will be completed as part of the installation of a new VRU.


12/9/22 DJP Getting quotes for material.  Will complete in the 1Q2023.",1/26/2023,,,,East,Pipelines and Terminals,Operating Infrastructure,,Virginia,BETFF - BET FAIRFAX,,0,,,61000,,,"Karl, Marissa",,,,1,44947,,"Administrator, System",Independent,Aqua,8/17/2022,Other Programs
GRANGER VRU KNOCK OUT TANK PUMP REPLACEMENT,Item,Open,MCAP,BETAI00M2205,Maintenance Framework,2012604,"Parker, Brian",West,3. Active,Drawdown,Vapor Management,,22000,,22000,22000,0,Green,,,,22000,,,28000,,,28000,Phase,28000,,22000,22000,No,Green,4/1/2023,8/18/2022,8/18/2022,4/30/2023,4/28/2023,,,,,,,,,,,18000,4000,,,,,,,,,,"3/3/23 - no change to status - Professional Pump is now showing a ship date of 3/13.

2/3/23 - revised ship date is now 3/9.

1/3/23 - no change in status - ship date of pump/motor is 2/17.

11/30/22 - Professional Pump is now showing a ship date of 2/17/2023 for this pump and motor.

10/31/22 - PO issued on Vander Werf on 10/18 and to Professional Pump on 10/24.  Both total 20,374.

10/21/22 - created Req to purchase pump/motor - expect delivery around 12/19 or sooner.

10/12/22 - decision was made to go back to the original SOW and replace the pump/motor.  Entered Coupa request to get pump vendor re-activated so we can get a PO issued.  Lead time is 6-8 weeks.


10/10/22 just received proposal from Consolidated today for 87,200 for this work - adjusted the 2023 FCST amount based on this proposal after putting everything into AFE template.

9/29/22 - met with Consolidated at the site on 9/26 and waiting on quote to complete this revised SOW.  Moving this work out to 2023 since Consolidated is busy and can't get to this in 2022.  Estimating the cost for 2023 to complete all work at $50,000.

9/3/22 - had a call with all stakeholders and going to modify the SOW to remove the buried knock out tank and just install piping to create a drip leg with a high level switch in the drip leg.  Will schedule a time to meet with a contractor on-site in Sep.  Adjusted FCST to what I think it will cost to make modifications and abandon the buried tank in place.

8/11/22 - submitting AFE for routing approval.",3/3/2023,,"Hill, Elizabeth",,West,Pipelines and Terminals,Operating Infrastructure,,Michiana,BETAI - BET GRANGER,,18000,4000,,,,,"Karl, Marissa","Baldwin, T. Andy",,,1,44402,,"Guest, ProSight",Independent,Aqua,8/3/2022,Other Programs
Harristown VRU Release Prevention,Item,Open,MCAP,,Maintenance Framework,,"Schumacher, Chelsea",,2. Pending AFE,,Vapor Management,,43000,,43000,43000,0,Green,,,,43000,,,,,,,,,,43000,43000,No,Green,7/1/2023,,,,8/31/2023,,,,,,,,,,,,,,,21000,22000,,,,,,"Budget from Sugar Creek VRU Release Prevention (OPPM ID 44953) project being utilized to fund this. Sugar Creek was completed in 2018. 
(OPPM ID 44953) - Original Budget $61k. $18k remaining",3/10/2023,,,"Scannell, Adam",West,Pipelines and Terminals,Operating Infrastructure,,Central-Illinois,BETHT - BET HARRISTOWN TERMINAL,,0,,43000,,,,"Karl, Marissa",,,,1,44949,,"Administrator, System",Independent,Aqua,8/17/2022,Other Programs
Indianola VRU Carbon Replacement,Item,Open,MCAP,BETND00M2203,Maintenance Framework,2004192,"Roknich, Hunter",West,6. Operational,Drawdown,Vapor Management,-34680,,,-34680.34,-34680,0,Green,,,,-34680,,,184000,,,184000,Full,184000,160517,,160517,No,Green,10/1/2022,8/25/2022,8/25/2022,11/11/2022,11/30/2022,,,-34681.26,0.92,,,1,Red,0,,,,,,,,,,,,,"2/3/2023 - Reclass posted causing variance in accruals


12/2/2022 - Waiting for final invoicing and reclasses. Variance due to an error in accrual last month of $41,880.


11/2/2022 - Variance due to a reclass of $41880 to the wrong project. This will hit next month. 

10/10/22 - variance due to missed forecast. Work scheduled for week of 10/17


9/27/22 - Still working to reduce the LEL in V2 to safely complete the work. Working thought the plan with the regional team and ops. This project will be completed in 2022.


9/9/2022 - Field replacement scheduled the week of Sept. 19th. The carbon is getting relocated from Columbus South.",2/3/2023,,"Schultz, Amy",,West,Pipelines and Terminals,Operating Infrastructure,,Coraopolis,ND - INDIANOLA TERMINAL,,-34680,,,,195197,,"Karl, Marissa","Spitz, Nicholas P.",,,1,44583,,"Gardner, Travis",Independent,Aqua,8/12/2022,Other Programs
Jacksonville VRU Release Prevention,Item,Open,MCAP,,Maintenance Framework,,"Pitkin, Colton",South,1. Proposed,,Vapor Management,,58000,,58000,58000,0,Green,58000,,58000,0,,,,,,,,,,58000,58000,No,Green,8/1/2023,,,,9/30/2023,,,,,,,,,,,,,,,,28000,30000,,,,,,,,,,South,Pipelines and Terminals,Operating Infrastructure,,Florida,BETQJ - BET JACKSONVILLE TERMINAL,,0,,58000,,,,"Karl, Marissa",,,,1,44950,,"Administrator, System",Independent,Aqua,8/17/2022,Other Programs
Kankakee VRU Vacuum pump replacement,Item,Open,MCAP,BETKK00M2301,Exempt,2074272,"Gardner, Travis",West,6. Operational,Emergent,Vapor Management,17000,,,17000,17000,0,Green,,19518,19518,-2518,,,19518,,,19518,Full,19518,17000,,17000,No,Green,2/1/2023,2/9/2023,2/9/2023,2/28/2023,2/28/2023,,,,17000,19000,19000,-2000,Red,0,,,,,,,,,,,,,3/1/2023 - work completed and reclass submitted on 3/1.  2/2/2023 - emergent Vacuum pump replacement,3/1/2023,,"Hill, Elizabeth",,West,Pipelines and Terminals,Operating Infrastructure,,Argo,BETKK - BET KANKAKEE TERMINAL,,17000,,,,,,"Karl, Marissa","Hoekstra, Matt",,,1,46573,,"Gardner, Travis",Independent,Aqua,2/2/2023,Other Programs
Lima North Vapor Piping Upgrade,Item,Open,MCAP,,Maintenance Framework,,"Roknich, Hunter",West,2. Pending AFE,,Vapor Management,,56000,,56000,56000,0,Green,56000,,56000,0,,,,,,,,,,56000,56000,No,Green,9/1/2023,,,,11/30/2023,,,,,,,,,,,,,,,,,10000,,46000,,,,,,,,West,Pipelines and Terminals,Operating Infrastructure,,Lima Terminals,BETLM - BET MA NORTH TERMINAL,,0,,10000,46000,,,"Karl, Marissa",,,,1,44942,,"Administrator, System",Independent,Aqua,8/17/2022,Other Programs
Lima South VRU Carbon Replacement,Item,Open,MCAP,BETLI00M2203,Maintenance Framework,2010988 & 2010986,"Schumacher, Chelsea",HSSE,6. Operational,Emergent,Vapor Management,-39800,,,-39800.45,-39800,0,Green,,,,-39800,,,150000,,,150000,Full,150000,144234,,144234,No,Green,8/1/2022,8/25/2022,8/25/2022,8/10/2022,9/30/2022,,,-12800.45,-27000,,,-27000,Red,0,Other,,,,,,,,,,,,"3.2.23 - Accrual $70,000. Working through final invoice issues (AS)

2/3/23 - Waiting on final invoices (AS)

1/5/23 - Waiting on final invoices (AS)

12/2/22 - Waiting on final invoices (AS)

11/2/22 - Waiting on final invoices (AS)

10/11/22 - Variance due to forecast change 

10/6/2022 - Waiting for final invoices to close the project. 

9/2/2022 - Completed week of Aug 1st.",3/2/2023,,"Schultz, Amy",,West,Pipelines and Terminals,Operating Infrastructure,,Lima Terminals,BETLI - BET LIMA SOUTH TERMINAL,,-39800,,,,184034,,"Karl, Marissa","Spitz, Nicholas P.",,,1,44579,,"Gardner, Travis",Independent,Aqua,8/12/2022,Other Programs
Louisville VRU Release Prevention,Item,Open,MCAP,,Maintenance Framework,,"Scannell, Adam",West,2. Pending AFE,,Vapor Management,,58000,,58000,58000,0,Green,58000,,58000,0,,,,,,,,,,58000,58000,No,Green,6/1/2023,,,,7/31/2023,,,,,,,,,,,,,,28000,30000,,,,,,,,,,,,West,Pipelines and Terminals,Operating Infrastructure,,Southern Ohio,BETVL - BET LOUISVILLE,,0,28000,30000,,,,"Karl, Marissa",,,,1,44952,,"Administrator, System",Independent,Aqua,8/17/2022,Other Programs
Montgomery VCU Refractory Replacement,Item,Candidate,MCAP,,Exempt,,"Corman, Chris",South,1. Proposed,,Vapor Management,,42000,,42000,42000,0,Green,42000,,42000,0,,,,,,,,,,42000,42000,No,Green,5/1/2023,,,,5/31/2023,,,,,,,,,,,,,42000,,,,,,,,,,,,,,South,Pipelines and Terminals,Operating Infrastructure,,Alabama,BETEY - BET MONTGOMERY,,0,42000,,,,,"Karl, Marissa",,N/A,,1,31049,,"Arnold, Andrew",Independent,Aqua,8/27/2018,Other Programs
North Charleston VRU Release Prevention,Item,Open,MCAP,,Maintenance Framework,,"Pitkin, Colton",South,1. Proposed,,Vapor Management,,58000,,58000,58000,0,Green,58000,,58000,0,,,,,,,,,,58000,58000,No,Green,7/1/2023,,,,8/31/2023,,,,,,,,,,,,,,,28000,30000,,,,,,,,,,,South,Pipelines and Terminals,Operating Infrastructure,,Southeast Terminals,BETQH - BET NORTH CHARLESTON TERMINAL,,0,,58000,,,,"Karl, Marissa",,,,1,44951,,"Administrator, System",Independent,Aqua,8/17/2022,Other Programs
Ottumwa VCU Refractory Replacement,Item,Candidate,MCAP,,Maintenance Framework,,"Scott, Cory",West,2. Pending AFE,,Vapor Management,,110000,,110000,110000,0,Green,110000,,110000,0,,,,,,,,,,110000,110000,No,Green,6/1/2023,,,,5/31/2023,,,,,,,,,,,,,,30000,80000,,,,,,,,,,,,West,Pipelines and Terminals,Operating Infrastructure,,Eastern Iowa,BETOT - BET OTTUMWA,,0,30000,80000,,,,"Karl, Marissa",,,,1,41753,,"Schumacher, Chelsea",Independent,Aqua,8/20/2021,Other Programs
Pennsauken VRU UPS and CPU Replacement 2020,Item,Open,MCAP,BPNQP00M2008,Exempt,1674243,"Schumacher, Chelsea",HSSE,5. Deferred,Defined,Vapor Management,0,27000,,27000,27000,0,Green,,,,27000,,,27000,,,27000,Full,27000,,27000,27000,No,Green,12/1/2023,1/27/2020,1/27/2020,4/15/2020,12/21/2022,,,,,,,,,0,,,,,,,,,,,27000,,8/26/20 - mrk - deferred until 2021 due to requested 139k reduction in forecast.,8/26/2020,,"Schultz, Amy",,East,Pipelines and Terminals,Operating Infrastructure,,Pennsauken,BPNQP - BPN PENNSAUKEN TERMINAL,,0,,,27000,,,"Karl, Marissa","Klumpp, Eugene",,,1,35788,,"Kabaria, Erika",Independent,Aqua,1/21/2020,Other Programs
Port Reading - MVRU direct drive phase 2,Item,Open,MCAP,BPRPR00M2215,Maintenance Framework,1981493,"Wojton, Brian",East,7. Closed,Defined,Vapor Management,-1219,,,-1218.75,-1219,0,Green,,,,-1219,,,90000,,,90000,Full,90000,98390,,98390,No,Green,5/1/2022,5/24/2022,5/24/2022,12/31/2022,11/30/2022,,,-1218.75,,,,,,0,,,,,,,,,,,,,"1/20/2023 - Reclass submitted for $1,218.75 to BPRPR00E2209.
9/22/2022 - waiting for MVRU downtime to finish work.

9/6/2022 - work completed ahead of schedule.

8/8/2022 - MVRU supply pumps upgraded.  Piping mods. IP.

4/19/22 - Forecasted pushed out to Q4.",1/24/2023,,"Walker, Carol",,East,Pipelines and Terminals,Operating Infrastructure,,Harbor South Terminals,BPRPR - BPT PORT READING TERMINAL,,-1219,,,,99608,,"Karl, Marissa","Buchalski, Edwin",,,1,41600,,"Guest, ProSight",Independent,Aqua,8/19/2021,Other Programs
Port Wilmington VCU Burner and Air Duct Upgrade,Item,Open,MCAP,,Maintenance Framework,,"Wing, Hunter",,1. Proposed,,Vapor Management,,160000,,160000,160000,0,Green,160000,,160000,0,,,,,,,,,,160000,160000,No,Green,6/1/2023,,,,7/31/2023,,,,,,,,,,,,,0,60000,50000,50000,,,,,,3/14/23 - HW - AFE submitted 3/14. Quotes obtained from JZ and MDavis. JZ requires 40% of materials to be paid upfront and will hit in April. Remainder to hit in June / July,3/14/2023,,,,East,Pipelines and Terminals,Operating Infrastructure,,Port Wilmington,BNTUE - WIlmington(DE) Terminal,,0,60000,100000,,,,"Karl, Marissa",,,,1,44943,,"Administrator, System",Independent,Aqua,8/17/2022,Other Programs
Richmond VRU Release Prevention,Item,Open,MCAP,BETRH00M2301,Maintenance Framework,2076605,"Pepe, David",East,3. Active,Defined,Vapor Management,,50000,,50000,50000,0,Green,50000,,50000,0,,,50533,,,50533,Full,50533,,50000,50000,No,Green,4/1/2023,1/23/2023,1/23/2023,4/1/2023,8/31/2023,,,,,,,,,,,10000,40000,,,,,,,,,,"3/1/2023 - AFE approved, equipment on order, copntractor proposal received.  Ontrack for April completion.
2/3/2023 - Met with contractor, material will be ordered shortly. 1/12/2023 DJP AFE submitted
1/11/2023 DJP updated forecast, based on material delivery,


12/9/2022 DJP will complete in 1Q2023.  getting material quotes.",2/27/2023,,"Sautter, Maureen",,East,Pipelines and Terminals,Operating Infrastructure,,Virginia,BETRH - BET RICHMOND,,10000,40000,,,,,"Karl, Marissa","Orischak, Bob",,,1,44948,,"Administrator, System",Independent,Aqua,8/17/2022,Other Programs
South Williamsport Terminal - Replace Obsolete Refrigeration VRU,Item,Open,MCAP,BETAM00M2101,Exempt,1902005,"Schumacher, Chelsea",HSSE,7. Closed,Defined,Vapor Management,2507,,,2506.85,2507,0,Green,,,,2507,,,298000,,64000,298000,Supplemental,362000,362235,,362235,No,Green,10/1/2021,10/13/2021,10/13/2021,12/10/2021,7/29/2022,,,2398.9,107.95,,,108,Red,0,,,,,,,,,,,,,"1/5/23 - Waiting on final invoices (AS)

12/2/22 - Waiting on final invoices (AS)

11/2/22 - Waiting on final Invoices (AS)

7/29/22
VCU commissioned on 7/27/2022. Waiting on final invoices to close.

6/2/22 - Work expected to be completed in June.

5/12/22 - 
Mechanical contractor to mob. May 31st. VCU to be relocate the week of June 6th. The Air Permit to be approved 5/17.


4/4/2022 - Forecast pushed out... Still waiting on final approved air permit.


3/9/2022 - Forecast pushed out... Still waiting on final approved air permit.

2/9/2022 - Forecast pushed out... Still waiting on final approved air permit.

12/12/21 - Completed foundations and pipe support. Piping fabrication completed and hydrotested.
Air Permit is still under PADEP review and not expected to be approved until Feb 2022.

7/22/2021 - completed the initial site walk with operations. Currently developing a SOW for the installation of an idled VCU.cks

10-5-2020
Updated Q2 2021 forecast. CS",1/5/2023,"2/9/2022 - Forecast pushed out... still waiting on final approved air permit.


12/12/21 - Project will get pushed to 2022 because of delay in air permit approval.

10-5-2020
Updated Q2 2021 forecast. CS","Schultz, Amy",,East,Pipelines and Terminals,Operating Infrastructure,,Macungie Terminal,BETAM - BET SOUTH WILLIAMSPORT,,2507,,,,243259,,"Karl, Marissa","Orischak, Bob",N/A,,1,23839,,"Guest, ProSight",Independent,Aqua,7/12/2017,Other Programs
Sugar Creek VRU Release Prevention,Item,Open,MCAP,,Maintenance Framework,,"Scannell, Adam",West,8. Canceled,,Vapor Management,,18002,,18002,18002,0,Green,61000,,61000,-42998,,,,,,,,,,18002,18002,No,Green,11/1/2023,,,,3/31/2023,,,,,,,,,,,,,,,,,,,18000,2,,"02/02.23 - This budget is being transferred to another site. From last conversation with Marissa Karl, she is making the determination of which site it will be.


03/10/23 - Budget from Sugar Creek VRU Release Prevention  project being utilized to fund Harristown VRU (OPPM ID 44949). Sugar Creek was completed in 2018. 
Original Budget $61k. $18k remaining",3/10/2023,,,,West,Pipelines and Terminals,Operating Infrastructure,,Sugar Creek,BTTUG - BTT SUGAR CREEK,,0,,,18002,,,"Karl, Marissa",,,,1,44953,,"Administrator, System",Independent,Aqua,8/17/2022,Other Programs
Utica Terminal - Replace Louvers and Actuators on VCU,Item,Open,MCAP,,Maintenance Framework,,"Mohr, David",East,2. Pending AFE,,Vapor Management,,22000,,22000,22000,0,Green,22000,,22000,0,,,,,,,,,,22000,22000,No,Green,5/1/2023,,,,5/31/2023,,,,,,,,,,,,,22000,,,,,,,,,3/1/2023 Requested quote from vendor/contractor. DRM,3/1/2023,,,,East,Pipelines and Terminals,Operating Infrastructure,,Auburn Terminals,BETCA - BET UTICA  TERMINAL,,0,22000,,,,,"Karl, Marissa",,,,1,44330,,"Guest, ProSight",Independent,Aqua,7/29/2022,Other Programs
